Book,Chapters,Verses,Paragraphs,Headings
Genesis,50,1533,0,50
Exodus,40,1213,0,40
Leviticus,27,859,0,27
Numbers,36,1288,0,36
Deuteronomy,34,959,0,34
Joshua,24,658,0,24
Judges,21,618,0,21
Ruth,4,85,0,4
1 Samuel,31,810,0,31
2 Samuel,24,695,0,24
1 Kings,22,816,0,22
2 Kings,25,719,0,25
1 Chronicles,29,942,0,29
2 Chronicles,36,822,0,36
Ezra,10,280,0,10
Nehemiah,13,406,0,13
Esther,10,167,0,10
Job,42,1070,0,42
Psalms,150,2461,137,150
Proverbs,31,915,0,31
Ecclesiastes,12,222,0,12
Song of Solomon,8,117,0,8
Isaiah,66,1292,0,66
Jeremiah,52,1364,0,52
Lamentations,5,154,0,5
Ezekiel,48,1273,0,48
Daniel,12,357,0,12
Hosea,14,197,0,14
Joel,3,73,0,3
Amos,9,146,0,9
Obadiah,1,21,0,1
Jonah,4,48,0,4
Micah,7,105,0,7
Nahum,3,47,0,3
Habakkuk,3,56,0,3
Zephaniah,3,53,0,3
Haggai,2,38,0,2
Zechariah,14,211,0,14
Malachi,4,55,1,4
